MaxDepth,MinSamplesLeaf,Criterion,ClassWeight,ROC_AUC,PR_AUC
8,30,gini,None,0.6721822440945533,0.27385107789811214
8,30,gini,balanced,0.6663298674609429,0.26906022876462254
8,30,entropy,None,0.671705645341144,0.2744452538040814
8,30,entropy,balanced,0.6664155643771754,0.27317894159512646
8,50,gini,None,0.6778811922733181,0.2836471737831593
8,50,gini,balanced,0.6749912444596428,0.2678777584107006
8,50,entropy,None,0.6758488331177488,0.2816151085900455
8,50,entropy,balanced,0.6752245878701075,0.2798628393408342
10,5,gini,None,0.6446477216597201,0.24524811694879678
10,5,gini,balanced,0.6277202059699569,0.24016804882295545
10,5,entropy,None,0.6535796118156842,0.25771572920763036
10,5,entropy,balanced,0.6490316867961494,0.2604351219081522
10,10,gini,None,0.658087682606706,0.2665412038272549
10,10,gini,balanced,0.6337625613094324,0.24133970746243716
10,10,entropy,None,0.6520942674338503,0.26638983077895173
10,10,entropy,balanced,0.65014430121702,0.2598292022372446
10,20,gini,None,0.6690259130954799,0.27389046549117346
10,20,gini,balanced,0.65252502349954,0.2568959634559072
10,20,entropy,None,0.6587371206827339,0.2680585759486998
10,20,entropy,balanced,0.6615523160056234,0.2623604255167803
10,30,gini,None,0.6676710758246315,0.2669615424305027
10,30,gini,balanced,0.6552113637001905,0.2554832620478857
10,30,entropy,None,0.6563198481491944,0.2628535796172041
10,30,entropy,balanced,0.6624805271826486,0.2647071672612309
10,50,gini,None,0.6728182597620147,0.2788348181698766
10,50,gini,balanced,0.6682604228099998,0.272326881644294
10,50,entropy,None,0.667720015991251,0.2764957611260771
10,50,entropy,balanced,0.6661551696509843,0.2694584695988309
